GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC04_VC04,HC01_VC09,HC02_VC09,HC03_VC09,HC04_VC09,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC75,HC02_VC75,HC03_VC75,HC04_VC75,HC01_VC76,HC02_VC76,HC03_VC76,HC04_VC76,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC04_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC84,HC02_VC84,HC03_VC84,HC04_VC84,HC01_VC85,HC02_VC85,HC03_VC85,HC04_VC85,HC01_VC86,HC02_VC86,HC03_VC86,HC04_VC86,HC01_VC101,HC02_VC101,HC03_VC101,HC04_VC101,HC01_VC118,HC02_VC118,HC03_VC118,HC04_VC118,HC01_VC130,HC02_VC130,HC03_VC130,HC04_VC130,HC01_VC131,HC02_VC131,HC03_VC131,HC04_VC131,HC01_VC132,HC02_VC132,HC03_VC132,HC04_VC132,HC01_VC133,HC02_VC133,HC03_VC133,HC04_VC133,HC01_VC134,HC02_VC134,HC03_VC134,HC04_VC134,HC01_VC161,HC02_VC161,HC03_VC161,HC04_VC161,HC01_VC162,HC02_VC162,HC03_VC162,HC04_VC162,HC01_VC163,HC02_VC163,HC03_VC163,HC04_VC163
0600000US3602902000,3602902000,"Amherst town, Erie County, New York",104789,2317,104789,,62604,2692,59.7,2.2,42185,2464,40.3,2.2,62604,2692,62604,,51064,2116,51064,,3113,877,6.1,1.7,2187,718,4.3,1.4,4289,934,8.4,1.8,4351,1005,8.5,1.8,5451,1137,10.7,2.1,8149,1412,16.0,2.7,7045,1127,13.8,2.2,9053,1247,17.7,2.4,3168,839,6.2,1.7,4258,1009,8.3,2.0,69110,3469,,,93588,10229,,,4031,1042,7.9,2.0,38787,3957,,,123615,436,123615,,120110,1134,97.2,0.8,101587,3459,82.2,2.8,38616,3747,31.2,3.0,3505,1045,2.8,0.8,,,8.4,2.8,,,11.9,5.4,,,27.3,21.4
0600000US3602911000,3602911000,"Buffalo city, Erie County, New York",205878,2981,205878,,120651,3955,58.6,1.7,85227,3568,41.4,1.7,120538,3949,120538,,110070,3145,110070,,17779,2250,16.2,1.9,11086,1600,10.1,1.4,15339,1896,13.9,1.7,14130,1806,12.8,1.6,15843,1509,14.4,1.3,16433,1825,14.9,1.6,8692,1408,7.9,1.3,7303,1212,6.6,1.1,1971,605,1.8,0.6,1494,422,1.4,0.4,31919,1237,,,47833,2450,,,38813,2761,35.3,2.3,21164,1001,,,256220,901,256220,,236841,2808,92.4,1.0,124450,6171,48.6,2.4,138035,6059,53.9,2.4,19379,2646,7.6,1.0,,,25.5,2.7,,,39.7,4.2,,,41.2,8.4
0600000US3602915011,3602915011,"Cheektowaga town, Erie County, New York",74674,1670,74674,,48212,2428,64.6,2.8,26462,2123,35.4,2.8,48120,2422,48120,,40269,1586,40269,,1991,616,4.9,1.5,2738,828,6.8,2.0,4412,886,11.0,2.1,4948,986,12.3,2.5,7028,1054,17.5,2.6,8549,1225,21.2,2.8,4988,938,12.4,2.4,4109,999,10.2,2.4,937,446,2.3,1.1,569,441,1.4,1.1,48155,2696,,,56610,3066,,,5427,1022,13.5,2.6,26362,1658,,,87356,414,87356,,83474,1170,95.6,1.2,68811,2639,78.8,3.0,28442,2787,32.6,3.2,3882,1055,4.4,1.2,,,6.3,2.3,,,11.4,5.7,,,17.0,15.6
0600000US3602975000,3602975000,"Tonawanda town, Erie County, New York",62338,2123,62338,,40149,2132,64.4,3.1,22189,2246,35.6,3.1,40116,2130,40116,,32947,1950,32947,,1742,596,5.3,1.7,1958,687,5.9,2.0,3929,965,11.9,2.9,3314,942,10.1,2.7,5766,1013,17.5,2.8,6676,1107,20.3,3.1,3883,846,11.8,2.7,3936,919,11.9,2.8,636,334,1.9,1.0,1107,481,3.4,1.5,49036,5056,,,65022,5641,,,4704,1026,14.3,3.2,29879,2651,,,72984,278,72984,,70875,787,97.1,1.0,54326,3077,74.4,4.2,29578,3642,40.5,5.0,2109,743,2.9,1.0,,,5.8,2.4,,,12.2,6.0,,,3.0,5.5
0600000US3604710022,3604710022,"Brooklyn borough, Kings County, New York",2074383,1881,2074383,,1314978,9857,63.4,0.5,759405,10105,36.6,0.5,1314286,9839,1314286,,942402,4290,942402,,110797,4516,11.8,0.5,60355,4178,6.4,0.4,108270,4068,11.5,0.4,85491,3544,9.1,0.4,118042,5588,12.5,0.6,144922,4521,15.4,0.5,103360,4618,11.0,0.5,109198,4642,11.6,0.5,48495,3062,5.1,0.3,53472,3371,5.7,0.4,47966,1220,,,72721,1298,,,223360,6077,23.7,0.7,27059,418,,,2610676,1908,2610676,,2322979,12186,89.0,0.5,1356824,20594,52.0,0.8,1152182,18128,44.1,0.7,287697,12095,11.0,0.5,,,19.7,0.8,,,27.1,1.3,,,20.2,2.6
0600000US3605530290,3605530290,"Greece town, Monroe County, New York",79700,2113,79700,,53477,2306,67.1,2.7,26223,2453,32.9,2.7,53477,2306,53477,,39972,1660,39972,,1165,371,2.9,0.9,1391,575,3.5,1.4,3489,815,8.7,2.0,5250,1194,13.1,2.9,7325,1476,18.3,3.5,8637,1184,21.6,2.9,5461,1040,13.7,2.6,4948,1051,12.4,2.6,1716,463,4.3,1.2,590,330,1.5,0.8,53077,4554,,,65794,4070,,,2829,749,7.1,1.9,28426,1756,,,96687,322,96687,,92975,1284,96.2,1.3,73353,3135,75.9,3.2,34058,3084,35.2,3.2,3712,1207,3.8,1.3,,,5.3,2.0,,,9.6,4.0,,,19.9,15.4
0600000US3605563000,3605563000,"Rochester city, Monroe County, New York",164712,2532,164712,,100683,3385,61.1,1.8,64029,2968,38.9,1.8,100659,3386,100659,,83944,3035,83944,,13002,1508,15.5,1.6,6987,1132,8.3,1.3,17015,1989,20.3,2.2,11378,1598,13.6,1.8,12087,1656,14.4,2.0,11270,1517,13.4,1.7,5762,844,6.9,1.0,4796,834,5.7,1.0,750,332,0.9,0.4,897,369,1.1,0.4,29527,2044,,,44303,3231,,,30478,2070,36.3,2.2,19360,1475,,,206874,1370,206874,,189769,2360,91.7,0.9,103253,5410,49.9,2.6,107464,5162,51.9,2.5,17105,1965,8.3,0.9,,,32.0,3.2,,,51.9,4.8,,,50.8,11.2
0600000US3605934000,3605934000,"Hempstead town, Nassau County, New York",618107,4730,618107,,409024,6992,66.2,1.0,209083,6712,33.8,1.0,408827,6991,408827,,238566,3325,238566,,7661,1300,3.2,0.5,5835,1273,2.4,0.5,13353,1713,5.6,0.7,16280,2159,6.8,0.9,18605,1980,7.8,0.8,32224,2536,13.5,1.0,30509,2386,12.8,1.0,48058,3204,20.1,1.3,31240,2784,13.1,1.2,34801,2307,14.6,1.0,94576,4298,,,120539,3716,,,14548,1555,6.1,0.6,38711,1046,,,764798,1228,764798,,710880,5737,93.0,0.7,594424,9386,77.7,1.2,203096,7668,26.6,1.0,53918,5704,7.0,0.7,,,5.0,0.8,,,7.3,1.5,,,5.9,3.1
0600000US3605953000,3605953000,"North Hempstead town, Nassau County, New York",184758,3403,184758,,114102,3605,61.8,1.7,70656,3550,38.2,1.7,114042,3610,114042,,78299,1981,78299,,2383,732,3.0,0.9,1107,502,1.4,0.6,4462,1108,5.7,1.3,4531,840,5.8,1.0,5718,992,7.3,1.3,10606,1553,13.5,1.9,9433,1467,12.0,1.8,14680,1647,18.7,2.1,8838,1298,11.3,1.7,16541,1347,21.1,1.7,101208,2679,,,144839,5615,,,2271,601,2.9,0.8,50651,2087,,,227728,978,227728,,217288,2278,95.4,1.0,190364,3737,83.6,1.6,57693,4329,25.3,1.9,10440,2187,4.6,1.0,,,4.9,1.6,,,9.2,3.2,,,5.8,4.5
0600000US3605956000,3605956000,"Oyster Bay town, Nassau County, New York",243397,2911,243397,,155399,3900,63.8,1.4,87998,3703,36.2,1.4,155338,3879,155338,,99159,2177,99159,,2755,908,2.8,0.9,2210,759,2.2,0.7,5975,1133,6.0,1.1,4326,1081,4.4,1.1,6598,1299,6.7,1.3,11591,1430,11.7,1.4,10257,1292,10.3,1.3,20802,1908,21.0,1.9,13714,1405,13.8,1.5,20931,1778,21.1,1.7,111826,3822,,,148736,6149,,,2836,771,2.9,0.8,50770,2034,,,296370,532,296370,,286111,2716,96.5,0.9,257305,4334,86.8,1.5,69635,4401,23.5,1.5,10259,2701,3.5,0.9,,,3.6,1.0,,,4.3,1.7,,,0.2,0.3
